MatchID;MMR;radiant_win;radiant_pick;dire_pick
4957532319;5836;True;37,106,93,16,101;31,32,107,11,1
4957536313;5779;True;10,104,19,14,86;129,79,21,93,30
4957541505;5149;False;100,87,63,58,39;86,101,38,89,102
4957552402;5724;True;119,38,101,89,64;83,109,19,74,58
4957557110;5578;True;14,12,25,66,114;74,56,93,5,129
4957561311;5117;False;67,19,76,129,31;73,84,114,21,75
4957562111;7476;False;106,3,91,72,50;85,76,86,129,4
4957565314;6815;False;76,120,101,91,114;16,121,4,13,86
4957566800;6605;True;19,11,5,58,89;99,45,32,25,3
4957572710;4619;False;57,70,59,26,86;100,39,129,54,83
4957573506;6580;False;120,34,39,5,70;48,82,95,58,83
4957575208;5241;True;101,104,26,36,8;29,7,70,46,27
4957576705;6048;True;25,110,71,31,14;54,101,75,61,98
4957582402;5541;True;95,30,60,114,85;36,93,53,23,112
4957583714;4785;True;7,104,93,26,34;37,82,8,56,74
4957583717;5343;True;98,39,87,19,93;91,7,76,84,54
4957585900;5583;False;19,93,39,2,119;65,23,26,73,120
4957589912;5623;True;71,25,54,16,112;91,72,64,53,39
4957591103;4149;True;73,129,30,10,101;70,54,40,120,19
4957592513;6265;True;91,68,104,23,114;7,5,73,25,11
4957593106;5135;True;121,13,72,5,2;70,53,105,46,25
4957594311;4945;True;121,17,73,120,83;21,41,98,30,51
4957604510;5724;True;58,83,26,93,73;41,64,66,120,39
4957611215;4986;False;49,95,84,27,98;37,93,86,113,33
4957612717;5734;False;34,42,87,2,19;7,68,9,76,18
4957423713;5013;False;42,59,99,121,119;64,76,129,37,93
4957444901;5420;True;86,93,34,7,14;84,31,112,56,25
4957378700;4708;True;19,41,13,111,74;106,120,94,37,119
4957277813;4055;False;39,42,121,37,129;72,58,83,15,91
4957279117;4658;True;88,33,95,74,79;17,32,93,19,30
4957279903;5305;True;93,27,98,47,31;78,72,86,83,73
4957465618;4417;False;54,3,2,25,59;72,52,91,23,34
4957285013;4653;True;34,5,41,19,14;21,100,36,93,84
4957286117;4851;True;19,14,65,39,41;91,106,104,25,93
4957292918;4498;False;8,57,96,86,82;101,50,48,84,104
4957490306;5282;False;9,58,27,15,45;5,25,62,129,95
4957297817;4838;False;77,110,7,37,17;106,62,121,70,79
4957299711;4760;True;106,107,58,61,37;63,9,21,84,31
4957299912;5277;True;89,100,2,3,92;5,60,52,95,86
4957427519;3955;True;120,76,37,44,84;121,42,21,69,66
4957471214;5564;True;76,37,48,62,21;84,93,5,99,71
4957388708;6422;True;121,70,98,73,71;96,62,76,14,9
4957389215;5075;True;72,101,45,91,52;54,104,21,112,40
4957323119;5443;True;56,32,76,84,19;7,96,106,11,27
4957397203;4984;False;7,86,26,2,70;62,121,51,73,23
4957398307;5065;False;99,106,67,72,53;4,7,76,75,16
4957329801;5075;True;7,21,68,63,104;3,2,74,18,110
4957331412;5745;True;33,8,104,74,102;64,88,48,49,58
4957399105;5232;False;42,31,86,23,97;129,14,7,56,40
4957453803;5238;True;8,14,79,105,21;27,70,58,17,51
4957432004;5385;True;68,100,113,60,106;17,129,110,1,84
4957348902;5439;True;86,58,107,2,93;59,37,110,120,63
4957349708;5106;False;7,39,99,86,8;37,70,62,129,120
4957474608;6320;False;53,10,7,12,37;84,61,54,86,14
4957433905;4390;False;120,1,34,101,121;73,40,51,111,4
4957457204;5652;False;19,42,80,111,70;83,56,121,98,41
4957407709;4481;False;111,34,8,27,2;88,81,105,120,37
4957476715;5045;False;31,17,110,25,93;11,83,37,8,19
4957367202;5201;True;60,74,95,26,32;83,21,84,28,10
4957370004;4761;False;54,7,37,71,34;2,74,93,111,61
4957410214;5024;True;86,93,120,65,9;8,38,31,74,7
4957418610;5318;False;22,14,111,52,6;7,5,17,54,9
4957272500;5195;True;21,52,5,76,98;49,112,69,105,70
4957376801;4498;False;20,4,11,33,120;38,41,19,121,74
4957278009;4497;True;21,7,61,30,42;41,22,14,2,31
4957394208;4028;True;53,73,19,27,93;18,83,5,114,21
4957350808;3896;False;129,50,112,11,113;1,104,68,114,27
4957324317;4996;True;72,28,76,5,14;93,86,74,83,104
4957325216;4728;False;22,41,53,7,5;101,42,62,84,34
4957359718;5488;True;7,14,12,43,37;121,95,39,28,112
4957277103;5034;False;2,70,89,13,22;95,19,104,74,26
4957284303;4891;True;112,5,106,28,42;46,68,120,19,114
4957287815;4070;True;129,74,26,91,114;37,41,33,2,19
4957289702;5265;False;75,111,94,62,29;83,106,79,36,119
4957291610;5056;True;14,64,41,92,62;21,37,100,93,30
4957292305;4918;False;101,61,99,26,54;27,100,98,14,9
4957298519;6310;True;19,110,74,101,93;111,83,46,104,41
4957303409;5111;False;106,7,109,40,52;8,59,86,5,92
4957305718;4266;True;42,76,86,91,16;7,60,54,68,74
4957318517;4967;True;93,86,42,45,5;106,79,18,25,36
4957334510;4927;True;20,77,52,38,27;73,19,62,111,23
4957334519;5163;False;92,86,14,45,15;98,30,18,113,103
4957339604;5845;False;81,5,98,84,48;121,106,74,14,93
4957271508;4955;True;25,111,76,104,42;114,68,71,61,14
4957367903;4652;True;8,4,31,57,86;71,60,76,26,114
4957375813;5033;True;106,45,75,71,14;93,76,119,50,16
4957385209;4591;True;114,26,71,1,113;44,27,31,17,104
4957400603;5487;False;15,101,91,25,99;3,1,86,36,84
4957401200;5084;False;100,93,23,120,121;22,14,64,52,1
4957380116;5307;False;50,102,73,93,75;5,114,12,19,98
4957380718;5146;True;18,11,14,121,107;21,120,68,36,114
4957381416;4936;True;25,83,104,1,37;93,3,99,19,77
4957349314;4728;False;57,34,27,73,19;14,25,70,9,5
4957287319;4154;False;36,93,53,5,21;4,37,23,129,86
4957346501;5031;False;84,48,73,54,14;3,42,16,100,74
4957388411;4752;False;114,27,86,16,11;26,104,62,8,22
4957341201;4439;True;109,119,73,31,21;64,93,16,114,60
4957334908;4813;False;104,105,56,78,86;61,22,42,37,83
4957388910;4235;True;37,41,84,34,112;93,86,92,62,45
4957315912;5101;True;61,71,2,41,84;62,91,119,102,76
4957390610;4104;False;3,42,113,25,84;60,121,89,21,27
4957275905;4533;True;93,68,17,110,105;8,5,119,97,65
4957308518;4946;False;96,54,52,21,25;78,68,39,84,63
4957398016;4694;True;16,93,114,27,88;76,71,49,18,25
4957298216;4921;False;7,27,18,28,99;14,87,89,22,64
4957398808;5278;True;100,41,36,27,73;21,71,81,17,83
4957398809;5121;False;1,13,51,110,2;11,70,62,28,66
4957295012;4110;True;34,97,10,71,3;36,106,100,48,96
4957372819;3564;True;121,101,58,41,39;10,19,36,26,104
4957354906;4985;False;119,129,101,42,76;86,121,96,106,12
4957352116;5174;True;41,7,46,3,26;28,74,5,93,100
4957380114;4577;False;26,74,121,2,15;31,99,77,114,91
4957318110;4290;True;18,69,9,79,17;7,121,39,22,10
4957325010;5093;False;104,88,25,42,64;83,86,7,4,17
4957298217;4065;True;71,87,93,55,17;54,76,19,3,96
4957294211;4252;True;7,37,54,96,22;112,60,93,39,11
4957295015;4000;True;71,120,93,25,26;41,73,47,20,53
4957297814;4553;True;34,129,62,70,84;52,14,98,37,12
4957270603;4394;False;120,58,25,14,54;73,129,100,50,69
4957286211;4659;True;14,73,54,84,96;65,26,93,82,60
4957285401;4040;True;28,54,62,5,4;26,93,10,119,104
4957301906;4710;False;14,59,44,98,85;62,42,16,5,106
4957285210;4796;False;67,119,34,129,103;32,96,92,75,40
4957304016;4531;True;30,2,19,1,86;84,114,89,7,66
